match_id,match_date,home_team,away_team,round,match_minute,taker_name,taker_team,incident_type,incident_class,from,result,score_at_time
11450156,2024-01-23,Pendikspor,Kasımpaşa,22,43,Mame Thiam,Pendikspor,goal,penalty,penalty,scored,2-2
11450156,2024-01-23,Pendikspor,Kasımpaşa,22,41,Mame Thiam,Pendikspor,varDecision,penaltyNotAwarded,,not awarded/missed,0-0
11450141,2024-01-29,Trabzonspor,Kasımpaşa,23,66,Haris Hajradinović,Kasımpaşa,goal,penalty,penalty,scored,1-2
11450141,2024-01-29,Trabzonspor,Kasımpaşa,23,66,Mamadou Fall,Kasımpaşa,varDecision,penaltyNotAwarded,,not awarded/missed,0-0
11450118,2024-02-02,Hatayspor,Fatih Karagümrük,24,47,Carlos Strandberg,Hatayspor,goal,penalty,penalty,scored,2-0
11450100,2024-02-09,Adana Demirspor,Kasımpaşa,25,64,Haris Hajradinović,Kasımpaşa,goal,penalty,penalty,scored,0-3
11450109,2024-02-11,İstanbulspor,Gaziantep FK,25,69,Denis Drăguş,İstanbulspor,goal,penalty,penalty,scored,1-2
11450109,2024-02-11,İstanbulspor,Gaziantep FK,25,61,Alexandru Maxim,Gaziantep FK,varDecision,penaltyNotAwarded,,not awarded/missed,0-0
11450101,2024-02-11,Fenerbahçe,Alanyaspor,25,44,Dušan Tadić,Fenerbahçe,goal,penalty,penalty,scored,1-1
11450105,2024-02-17,Antalyaspor,İstanbulspor,26,83,Jackson,Antalyaspor,goal,penalty,penalty,scored,2-2
11450110,2024-02-18,Alanyaspor,Adana Demirspor,26,56,Youcef Atal,Adana Demirspor,varDecision,penaltyNotAwarded,,not awarded/missed,0-0
11450110,2024-02-18,Alanyaspor,Adana Demirspor,26,58,Emre Akbaba,Adana Demirspor,goal,penalty,penalty,scored,2-1
11450108,2024-02-19,Başakşehir FK,Kayserispor,26,80,Deniz Türüç,Başakşehir FK,varDecision,penaltyNotAwarded,,not awarded/missed,0-0
11450099,2024-02-23,Samsunspor,Çaykur Rizespor,27,78,Olivier Ntcham,Samsunspor,goal,penalty,penalty,scored,3-0
11450091,2024-02-24,Fenerbahçe,Kasımpaşa,27,86,Sebastian Szymański,Fenerbahçe,varDecision,penaltyNotAwarded,,not awarded/missed,0-0
11450092,2024-02-25,Fatih Karagümrük,Alanyaspor,27,89,Ahmed Hassan,Fatih Karagümrük,goal,penalty,penalty,scored,1-1
11450095,2024-02-26,Galatasaray,Antalyaspor,27,0,Tetê,Antalyaspor,varDecision,penaltyNotAwarded,,not awarded/missed,0-0
11450095,2024-02-26,Galatasaray,Antalyaspor,27,12,Kerem Aktürkoğlu,Antalyaspor,goal,penalty,penalty,scored,1-0
11450071,2024-03-03,Pendikspor,Konyaspor,28,19,Sokol Cikalleshi,Konyaspor,goal,penalty,penalty,scored,0-1
11450081,2024-03-04,Adana Demirspor,Fatih Karagümrük,28,19,Mario Balotelli,Adana Demirspor,goal,penalty,penalty,scored,1-0
11450080,2024-03-04,Antalyaspor,Gaziantep FK,28,59,Alexandru Maxim,Gaziantep FK,varDecision,penaltyNotAwarded,,not awarded/missed,0-0
11450061,2024-03-08,Galatasaray,Çaykur Rizespor,29,70,Kerem Demirbay,Çaykur Rizespor,goal,penalty,penalty,scored,5-2
11450086,2024-03-09,Konyaspor,Adana Demirspor,29,4,Sokol Cikalleshi,Adana Demirspor,goal,penalty,penalty,scored,1-0
11450086,2024-03-09,Konyaspor,Adana Demirspor,29,35,Alassane Ndao,Adana Demirspor,varDecision,penaltyNotAwarded,,not awarded/missed,0-0
11450086,2024-03-09,Konyaspor,Adana Demirspor,29,42,Sokol Cikalleshi,Konyaspor,goal,penalty,penalty,scored,2-1
11450077,2024-03-10,Fenerbahçe,Pendikspor,29,83,Michy Batshuayi,Fenerbahçe,goal,penalty,penalty,scored,2-1
11450077,2024-03-10,Fenerbahçe,Pendikspor,29,86,İrfan Can Kahveci,Pendikspor,varDecision,penaltyNotAwarded,,not awarded/missed,0-0
11450068,2024-03-16,Beşiktaş,Antalyaspor,30,38,Bahadır Öztürk,Beşiktaş,varDecision,penaltyNotAwarded,,not awarded/missed,0-0
11450069,2024-03-16,MKE Ankaragücü,Başakşehir FK,30,48,Tolga Ciğerci,Başakşehir FK,goal,penalty,penalty,scored,1-0
11450072,2024-03-16,Adana Demirspor,Sivasspor,30,47,Édouard Michut,Sivasspor,varDecision,penaltyNotAwarded,,not awarded/missed,0-0
